,Paylaþým
70,"Koyun dedikleri tarafýndan 18 senedir yönetilen ,koyun kadar aklý olmayan bir kesim var bu ülkede."
71,büyük cesaret helal olsun
72,patlamanýn yaþandýðý bölgeye yakýn yerleþim yerlerindeki insanlarýn evlerine girip kapý ve pencerelerini kapa
73,Hayatta kalabilmek için para uðruna insanlar nerelerde canlarýný hic sayarak çalýþýyor.. Allah yardýmcýlarý olsun..
74,Allahým sen yaralýlara ve ailelerine yardým et
75,Geçmiþ olsun umarým kimsenin caný yanmamiþtir. 
76,Havai Fiþek fabrikasý patlamýþ. Rabbim içerideki tüm çalýþanlarýn canýný korusun inþallah
77,Patlama sesi korkunçtu. Tüm Sakarya sesi duydu ve sarsýntýyý hissetti. Atom bombasý gibi bir etki yarattý.
78,Can kaybý olmamasý tek temennim
79,Sakarya'nýn Hendek ilçesinde ki havai fiþek fabrikasýnýn patlamasýnda can kaybýnýn olmamasýný temenni ediyorum.
80,Sakarya'da havai fiþek fabrikasýnda patlama: Ýçeride 150-200 kiþi var!
81,Umuyoruz ki tek bir canýmýzýn dahi burnu kanamaz.
82,sorumlu herkesin caný cehnneme
83,Sen olarak dünyaya gelmediðimiz için þükrettik bugün
84,Bu sey degil mi ya herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan 10 kat daha ahlaksiz hareketler yapan kiþi
85, neyse gidip de yuvasýný yýktýðým adamla öpüþeyim
86, Bu sey degil mi ya herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan 10 kat daha ahlaksiz hareketler yapan insan
87,"herkes Ece Erken'e laf söylüyor ahlak bekçiliði yapan ahlaksýz diye de sizin yaptýðýnýz ne þu an siktir etsenize, böyle insanlarý"
88,"Adam boþanýr boþanmaz, tekne turlarýnda fink atan yalandan ayrýlmýþ numarasý yapan utanmazlar"
89,tek kelime ile Rezilsin
90,Ekrandan herkese ahlak bekçiliði yapan ahlaksýz
91,kim kime isterse gitsin ne istiyorsa yapsýn konuþmaya deðecek baþka bir þeyiniz yok mu ya
92,Ece Erken ve Sevgilisi Su altýnda saman yürütmüþ bea
93,bu yorumlarý yazanlara merak ettiðim için soruyorum. Ahlaksýz olan bir tek o mu baþkasýnýn suçu yok mu
94,bu kadýn aðlayarak malý götürenlere en güzel örnek 
95,"annen,baban seni büyütüyor yedirip içiriyor, o kadar emekten sonra sen ahlaksýz oluyorsun.tivit bu kadar!"
96,NE KADAR ÇOK ÇALIÞIRSAK O kadar iyi
97, Ahlak bekçileri size ne?
98,"Ýstediði gibi yaþar hayatýný, olumlu olumsuz tüm sonuçlarý kendisi yaþayacak"
99,"insan nasýl bu kadar çirkinleþebilirin örneði,buyrun"
100,Ee boþuna dememiþler kim ahlak bekçiliði yapýyorsa en ahlaksýz odur
101, adamda tip desen yok. Fizik desen yok. Bu adamýn neyini sevdin
102,Türkiyenin gelmiþ geçmiþ ennn büyük eskortusun ya
103,Utanmazlar
104,Milletin dedikodusunu yaparken paranýn dibine vurmasýný biliyordunuz Milletin ahlak bekçiliðini yapmasýný biliyosunuz
105,insan nasýl bu kadar çirkinleþebilir
106,"Ece Erkene önyargýlý davranýp onu hiç sevmiyorsunuz, oysa ki tanýsanýz nefret edersiniz.."
107,Kim namustan söz ediyorsa en namussuzu o dur
108,yuva yýkýp bir aileyi daðýtan kadýn
109,"cahil, alt kültür adam"
110,Ünlü kadýnlar yuva yýkar hayretbiþey arkadaþ normal bir ünlü
111,aq ya Midesizsiniz 
112,Vazgeçtim inan kendimden çoktannn 
113,"Gömülen gömülene, unutulan unutulana, kayýplara karýþan karýþana"
114,"Yaþ kaç olursa olsun,her sözün,sesin,kalemin yüreðime dokunur"
115,Zamanýnda severek dinledim
116,"9,""Sago benim dilsiz kalbime dil, dikenli yollarýmdaki çicek,anlatmaya çalýþmadýklarýma kelimelersin  #SagopaKajmer"",Brnbzkrtt,Bernik"
117,Uçur beni rüzgâr toz taneleri gibi burdan uzaða doðru
118,Benim gözlerimden bak dünyaya.
119,Bugünüm yarýným bi yaným karambolde
120,Beni mutlu edecek þey
121,Mektupu al derdimi gör
122,"Halini sor,er ya da geç yollar bir"
123,Ah zaman ahir
124,Þuraya girince kendimi tutamayýp tüm tweetleri beðeniyorum.
125,Oysa kim istemez ki her gün ilkbahar günü
126,Þiirler yazmak izleyip kýrmýzý gülü?
127,Ama galibaaaaa bütün bu olanlara dayanamam ama hazýrýmm
128,"Sen giderken adýmlarýný sayarým, heyhat"
129,Uzuyor uzadýkça bitmiyor bitse sevimsiz akþamlar...
130,"Huzur, özür dilemeli bana uðramadýðý her gün için."
131,Uçur beni rüzgar
132,Sana Küfür Ederim
133,Bizi bu saatten sonra mutlu edecek tek þey konseridir
134,Kah çýkarým gök yüzüne içerim saki yi kah inerim yer yüzüne çekerim zikrimi 
135,"Ýfadeler, sözlerden daha seslidir ve Sago sessizlerin sesidir."
136,Güvendiðim daðlara kar yaðýyor
137,mutlu oldum
138,"Sal yaralý balýklarý gitsin, misina artýk çok gergin."
139,Ýster istemez her þeyim sende rehin
140,Ne yanlýþ bir kar
141,Çok seviyorum
142,utanmadan konuþuyor þerefsiz
143,Satýlýk herif
144,"Ýçim hasret yeri, küheylan kaldý bi kemik bir deri"
145,katil kimsesiz gariban bir canýn caný alan zalim
146,yazýklar olsun olsun senin gibi insana
147,Allah belaný versin! Umarým o þekilde can verirsin.
148,bu kaltak tutuklansýn
149,kendinden utan þerefsiz
150,insan olamamýþ bir mahluk
151,Allah belanýzý versin
152,sözde  akademisyenin ahlaksýz vicddansýz
153,Arabanýn arkasýna baðlayýp sürükleyeceksin. Sonra da kemiklerini kýrýp yatalak edeceksin.
154,Hatta insan bile deðil
155,Sen Vahþi bi yaratýksýn
156,pis suratsýz
157,Sen okumuþ barbarsýn
158,çoluðun çocuðun ezilsin senin
159,Sen bir katilsin þerefsiz ve haysiyetsizsin
160,haysiyetsiz iðrenç mahluk
161,vicdansýz. Allah senin belaný versin
162,Allah'ýn belasý. insan müsveddesi
163,Sen insan olamazsýn
164,sosyal medyadan veya çevresinden gelecek her türlü linci hakediyor
165,hayvan katili
166,Allah belaný versin vicdansýz
167,bunu yazan þerefsizler nereye kaçacak
168,Bugün birkez daha gurur duyuyorum Fenerbahçe'li oldugum için
169,bela ve  musibetsin
170,Türk Futbolunun  foseptik çukurlarýnýn þikeden dolup patladýðý gün
171,Yýkmaya Gücünüz ; Yýkýldýðýmýzý Görmeye Ömrünüz Yetmez ! 
172,Onurla Gururla Þampiyon FENERBAHÇE ????
173,sen fetö nün en büyük destekcisisin
174,Her zaman olduðu gibi dik durdu. Hainlerin onu hedef almalarýna raðmen yýkýlmadý.
175,"Aþkýnla sevginle bizler delirdik. Uðrun da ölmeye yeminler ettik,ne cefalar çektik,ne canlar verdik"
176,Ýftiracý namussuz
177,Ne Mutlu size
178,"Sana deniyor hamsi, hýrsýzlýk yapmadan ziyaret bedava"
179,Unutmadýk Unutturmayacaðýz 
180,Yýkmaya gücünüz yetmez 
181,Sen ne yüzle bir baþkasýný eleþtiriyorsun
182,Sen katilsin namussuz
183,Rabb'im saðlýk sýhhat uzun ömürler versin inþallah
184,CUMAMIZ MÜBAREK OLSUN
185,Sizin yalanlarýnýz sizin montajlarýný bitmez
186,Ýyi ki varsýn baþkaným
187,ÝNANIN BU GÖRÜNTÜLERÝ UNUTMUÞUM...
188,Olay ne acaba ?
189,Ýnsan her gün yaþanan olaylarý görüp bildikçe her canlýnýn acýsýný acýsý ettikçe nasýl mutlu bir hayat arzu etsin?
190,söylesene þunlarý be
191,Kendi kazdýðý kuyuya kendi düþen enayiler
192,oðlu ve eþi ne ne oldugu belli olmayan Erdal çomarý
193,Erdalcým boku kürekle yedin
194,çok fena sýçtýn
195,Bu kadýn kendini ispatlamýþ mükemmel bir insan zaten sizin derdiniz baþka
196,Ayaðýna sýkacaðý'na  kafasýna sýk
197,kadýna her gün biraz daha hayran oluyorum
198,Halkýn diktatörü...
199,ayaðýna sýkan bi salakta sensin
200,Sen müge anlýyla uðraþabilirmisin müge anlý la o
201,O telefonun incelenmeyeceðini mi sanýyorsun
202,Bence sonuna geldin
203,Artýk Þaban dayýn da kurtaramayacak seni dallama
204,allah affetsin seni
205,üremesi yasaklanmalý. hastalýklý genleri dünyaya saçmasýnýn önüne geçilmeli.
206,Sözde Müslüman haysiyetsiz
207,"Ayþe, asgari ücretle geçen yýl 42 kg et alýyorduk"
208,Ýnanmýyor musunuz?
209,Hesap ortada ve aþaðýda
210,Hadi verelim mehteri
211,Otomobil fiyatlarý uçmuþ.
212,Konut fiyatlarý tavan yapmýþ.
213,Bilet fiyatlarý katlanmýþ.
214,Ýðneden ipliðe her þey zamlanmýþ.
215,Facebook profili þerefsizin
216,Hayasýzlar telefon numarasýný bile vermiþ
217,Cahil bir kadýnsýn
218,Çomar piç seni
219,Yazýklar olsun aþþaðýlýk yaratýk
220,Acýlar içinde gebermeni dilerim
221,Ölmek için yalvar iblisin oðlu
222,Kafana sýkýcam senin
223,Öldürücem seni
224,Tecavüz edilmeyi hakediyosun
225,Þirketimizde yeni bir hizmet daha vermeye baþlayacaz. Hizmet Adý: Gtü bilmüh ödev ve projeleri yapýlýr
226,"Göktürke (3) göre domatesler parka gidebilir, tavuklar oruç tutabilir.."
227,"%12/13 arasý enflasyon seviyesi önemli bir eþik, mücadele edemezsek týpký daha önce gördüðümüz gibi hýzla yükselir. Atalet (inertia)."
228,"3 ay önce Suriyeli mültecileri göndermekle tehdit ettiðimiz Avrupaya bize turist göndermesi, sýnýrlarý açmasý için Bakan gönderiyoruz. Ýþte öngörü, iþte vizyon."
229,Dostlar 160bin oluþumuza özel resimdeki gördüðünüz Pikap'ý toplam 5 takipçimize hediye edeceðiz.. yapmanýz gereken tek þey bu tiviti beðenip yoruma 1 arkadaþýnýzý etiketlemek. Herkese bol þans
230,Sen ibne misin?
231,"Flört ettiklerini bildiðim iki arkadaþýmdan erkek olan çok az konuþuyormuþ, sohbeti yarýda býrakýyormuþ falan kýz rica etti bir yoklar mýsýn diye sordum bende, çocuk diyor ki Kýzýn kafa zehir gibi beni de öyle sanýyo muhabbet ilerlerse durumu fark eder"
232,instagramý açtýðým gibi karþýma bikinili bir kadýn çýktý utanmazlar
233,Az önce Googlea gaz fren sað sol aramasý yaptým... saðýnýzý solunuzu bilmemek çok acý..
234,babanýnn düþmanýna sýçayým
235,"Çevre, Doða, Hayvan Koruma Þube Müdürlüðü kuruldu "
236,Afrikada bir þehir adý Aydýn
237,Bu adamýn yaptýðý þey çok büyük bir olay gerçekten ve bu ülke için de yine çok büyük bir utanç
238,Bu toplumu geriyosunuz þerefsizler bataklar.
239,Evde herkes tatil bavulu yapýyor ben ödev yapýyorum.
240,Fenerbahçe Baþkaný Ali Koçun mahkemeye verdiði beyânýn final kýsmý
241,"Barcelona'da mutsuz olan Lionel Messi, yeni sözleþme görüþmelerini durdurdu"
242,ozan güvenin ifadesini okudum. feridun abiyi ararken daha mantýklý þeyler söylemiþti.
243,Aþýrý iyi
244,Günün deðil asrýn oçu
245,orospu evladý seni
246,þerefsiz orospu çocuðu
247,Ne kadar beyinsiz bir insansýn sen ya
248,bu örgütlü þerefsizliktir
249,Olamaz orospu çocuðu..
250,"Orospuçocuðu, ananý sikeyim, vatan haini, sülalenisikeyim, vatanhaini alman köpeði Bu mu sizin müslümanlýðýnýz bu küfürü utanmadan nasýl ediyorsunuz Allah diyorsunuz Allahtan korkmuyorsunuz sizlerle hesaplaþmak için cehenneme gitmek istiyorum çünkü sizi ancak orada bulurum"
251,Orospu çocuðu senin beni üzmeye ne hakkýn var.
252,Ýnsan deðilsin orospu çocuðu
253,Gün geçmiyor ki memelektte yeni bir orospu çocuðu görmeyelim
254,havaþ senin tekrar amk
255,günaydýn remini senin amk
256,Kahpe Zehra kusura bakma ama hýzýmý alamýyorum. Senin ben amk.
257,kaþar en aðýr küfürleri hak ediyor
258,Yavþak melikþah sende sattýn bizi senin ben amk
259,Ya senin kafaný sikeyim.
260,Senin ben amk
261,Amk'un denyosu bir þeyi içi boþ kafana sok ve sus
262,Amk dengesizi burda da mý meydan okumaya çýktý. Senin olmayan beynini sikeyim
263,Senin ben tipini sikeyim amk balonu
264,ya senin beynin yok amk malý beynin
265,12 saat çalýþ bakýrköy sahilde sabahla amk senin 
266,hasiktir lan dalyarrak
267,senin baþkaldýrýna sokayým
268,ne çirkin bi tipin var senin
269,Babama senin kýzý bizim oðlana alalým diyen emmi senin de amk
270,Hay senin olmayan beynine köpek iþesin amk
271,amk sercaný keline sýçayým senin
272,Kusura bakma ama senin ben amk artik yeter
273,bunlarý görüyorsan senin amk
274,Senin gibi aklý sikiyim ben.
275,Yaþamaya deðmezsin git öldür kendini cidden
276,Senin aðzýna sýçim
277,senin ben amk
278,Mabel matiz senin amk
279,Yalancý sahtekar dallama
280,Çomar orospu evlatlarý yine kudurmuþ
281,sevmeyen siktirsin gitsin
282,çomar orospu evlatlarý ne zaman tükenecek bu ülkede
283,Çomar piç 
284,Senin aklýn yok fikrin var çomar
285,Zoruna mý gitti çomar
286,Bu amk cocugu neden boyle salak terimler kullaniyo
287,fakiriz ama salak degiliz
288,Bende salak gibi gözümü falan kaçýrýyorum ne malmýþým beee
289,Þey muazzam deðil mi ya seni salak yerine koyuyorlar ama sen her þeyin farkýndasýn.
290,Gençler yaþlýlarýn aptal olduðunu düþünür ama yaþlýlar gençlerin aptal olduðunu bilir.
291,"Hiç birimiz aptal yada saf deðiliz,sadece susuyor ve görmezden geliyoruz."
292,Hayatýmda gördüðüm en aptal 2 kiþi 
293,aptal evladý
294,"Tanýþtýrayým; adi, þerefsiz ve namussuz"
295,"alçakça yapýlan ahlaksýz,þerefsiz ve namussuz paylaþýmlarý lanetliyorum"
296,"Bunlar Þerefsiz,Haysiyetsiz,Namussuz"
297,siz onun bunun çocuklarýsýnýz
298,sizi gidi yunan kerhanesi çocuklarý
299,Bu Þerefsiz ve Namussuz adama iyi bakýn
300,"Biz gerçeðin savunucusuyuz gizlenmek gibi bir derdimiz esasýnda yok,ama namussuz haysiyetsiz þerefsiz bir güruhla karþý karþýya iken"
301,demek ki aðlatmak suretiyle cima etsek neler çýkacak ortaya vay amk
302,exatlon ne aq
303,Exatlon þuan çekiliyor olsaydý acun takýmlarý eþitlemek için beyaz takýma berkaný transfer ederdi sonra siyahlar oyun kazanamazdý
304,old youtuber tayfayý kim olduklarýný bilmediði için çöp kategorisine koyanlar... Yormayýn
305,tanýdýklarým bir elin parmaðýný geçmez olaya bak
306,Doðanýn dilaranýn bacaklarýndan daha çok kýl var demesi cnrkxkemck sonrasýnda kýsa bi bakýþma
307,Elanur yürüme koþ Koþ
308,Hiçbirini tanýmýyorum ama bazýlarý çok mal
309,acun yaptýðýn her programa dünyanýn en zor yarýþmasý diyorsun. 
310,"bi karar ver artýk kanka, deli olacaksýn yakýnda."
311,exatlon parkuru survivor parkurlarýndan daha güzel 
312,Yakýþýklý oldugunuz kadar vay anasýný avradanýsýnýzda furkan bey
313,Gizem hortlak mýsýn her yerden çýkýyon mk
314,gözümüzü gönlümüzü açtýn Allah razý olsun
315,Uzun zamandýr bekliyordum
316,Siyah takýmýn kazanmasýný böyle izliyorum... 
317,çok zor durumdayým kiramý ödeyemedim Evim çok kötü durumda
318,Exatlon daki cezalar çok kötü lan
319,"Orkun, kusura bakma ama bok gibi sunmuþsun."
320,Orkun ýþýtmak: siz bu isimleri sosyal medyadan çok iyi tanýyorsunuz 
321,Kýz öldü amk afafsg
322,"Orkun: """"þuan yanýyorsun"""" diyor :)"
323,Exatlon futkan okum cenabet mi gittin oralara bi insanýn her cezada baþýna bi þey mi gelir tam bir ergen ibne
324,Ayný kiþi mi bunlar ?
325,izlemedim izlemek gibi bir niyetimde yok bu sene ki survivor bana yetti exatlon hic cekemem 
326,gözde inþallah diskalifiye olursun
327,Yaðmur baya iyi lan hayran kaldým kadýna
328,Gözde'nýn hýrsýna aþýk oldum
329,"Survivor da bu kadar kurgu ve algýdan gýna gelmiþken,#exatlon izlemek ,neden?"
330,Elanin  kiminle hazýrlandýðý açýklanmýþ
331,Öykü Berkan diye bir instagram fenomeni yarýþýyormuþ daha önce kýzýn ismini bile duymamýþtým
332,Siz buna Elanur demiþsiniz ama bu bildiðimiz survivor Gizem 
333,Tarafým belli Miafitz 
334,Üzümlü kekim
335,"exatlon ne cringe bý program Twitter da gördüm direkt anladým izleyenler yaþýnýz kaç çok merak ettim, ne boþ insanlarsýnýz"
336,ne ka tanýmadýðýmýz fenomen varsa toplamýþsýnýz bitek hayrettini tanýyorum amk. annen evdemiiiii #exatlon
337,Ulan Walter daha neler getirebilirsin diye merakla izliyorum seni
338,"Dizi ve filmlerdeki kadýn þiddetine, tacizlerine RTÜK'ün bir el atmasý lazým"
339,Kadýna Þiddete Hayýr
340,Hayata karþý doðan gibi bakýyorum çok nadir barýþ gibi oluyorum
341,Doðrularý konuþalým
342,Türkiyenin Tek Tamamen Türkçe koronavirüs canlý yayýnýna aþaðýdaki linkten ulaþabilirsiniz.
343,Kýzlarýn 3 gün bakým yapmamasýyla çöküp çirkin olmalarý :( 
344,Bunlar ayný kiþi mi aq
345,Kaç yýldýr instagram kullanýyorum  bu kim aq.
346,Gündeme geri dönelim.. Exatlon tarafýnýzý görelim bakalým
347,Harikasýn mükemmelsin efsanesin
348,netflix fakiriyiz anlatsanýza nasil bu yeni yarýþma
349,bunlar nasýl ayný kiþi olabilir arkadaþlar
350,Dilara mükemmeldi aksini iddia eden kördür kendini her parkur geliþtirdi ve yargý daðýttý aferin kýz sana
351,Tamamýyla fuhuþ
352,"Exatlon'u çok baþarýlý buldum, özellikle Netflix'te olmasý süper olmuþ"
353,çok tatlýsýn canm
354,biri sunun dikkat cekme cabasini gozumun onunden ceksin
355,"Survivor parkurundan sonra #exatlon parkuru gözümüzü, gönlümüzü açtý"
356,koþarmýsýn gelip arkadan ittirelim mi ?
357,gayette çoðu kiþiyi tanýyoruz. maðarada mý yaþýyosunuz amk her twit altýna bu kim bu kim. anan kardeþim
358,Çok çok fazla çökmüþ burada
359,HADI BISMILLAH BEN BASLIYOM
360,Direkt Miafitz Yapsaydýnýz Ýsmini Daha çok Tutardý Bu Program..
361,Kusursuz.
362,Ben izleyemiyorum. Benim Netflix de yok :(
363,Bu ikisi yarýþsa oyunu baþkasý kazanýr  
364,Günde 10 saati instagramda geçirip de nasýl bu yarýþmadakileri tanýmam
365,türkiye'de elraen ve delimine yi izlemek vardý
366,exatlonun en güçlüsü benim
367,"86,Ben aþýrý eðleniyorum þuan"
368,býrakýn artýk boþ þeyleri konuþmayý ya Acun'u yeteri kadar zengin etmediniz mi? #exatlon çok mu önemli?
369,Kýzlarýn hiçbirini tanýmýyorum dkfjdkfkdkfkkdkf
